I;L;J;AMUX;AMUN;AMUG;AMUF;E;D_J;Gx;Gn0;Gg;Gf
2.5;0;2.0;0.0;1.0;0.0;0.0;1000.0;901.5418027492941;0.0;0.06795011166837418;0.140144413116036;0.0
2.5;0;3.0;0.0;1.0;0.0;0.0;1000.0;1411.9840680413022;0.0;0.054562580809621286;0.140144413116036;0.0
2.5;1;1.0;0.0;1.0;0.0;0.0;1000.0;532.3731078734684;0.0;1.3407888759006548;0.220226934896628;0.0
2.5;1;2.0;0.0;2.0;0.0;0.0;1000.0;539.0782155237504;0.0;1.7395228587103788;0.220226934896628;0.0
2.5;1;3.0;0.0;2.0;0.0;0.0;1000.0;844.2979010251635;0.0;1.3968020687263047;0.220226934896628;0.0
2.5;1;4.0;0.0;1.0;0.0;0.0;1000.0;1870.9555159805295;0.0;0.6349469835119219;0.220226934896628;0.0
2.5;2;0.0;0.0;1.0;0.0;0.0;1000.0;871.5736014648211;0.0;0.029123302389427806;0.140144413116036;0.0
2.5;2;1.0;0.0;2.0;0.0;0.0;1000.0;377.4121132471104;0.0;0.02018801432464054;0.140144413116036;0.0
2.5;2;2.0;0.0;2.0;0.0;0.0;1000.0;382.1655254882933;0.0;0.013095839703359388;0.140144413116036;0.0
2.5;2;3.0;0.0;2.0;0.0;0.0;1000.0;598.5431088148451;0.0;0.010515697392399739;0.140144413116036;0.0
2.5;2;4.0;0.0;2.0;0.0;0.0;1000.0;1326.3654092110467;0.0;0.009560281285832915;0.140144413116036;0.0
2.5;2;5.0;0.0;1.0;0.0;0.0;1000.0;4018.214466658692;0.0;0.0;0.140144413116036;0.0
2.5;0;2.0;0.0;1.0;0.0;0.0;1041.3289435570352;901.5571247816597;0.0;0.0679512665053513;0.14015038428811838;0.0
2.5;0;3.0;0.0;1.0;0.0;0.0;1041.3289435570352;1412.0080652264846;0.0;0.05456350812061959;0.14015038428811838;0.0
2.5;1;1.0;0.0;1.0;0.0;0.0;1041.3289435570352;532.3821557489684;0.0;1.3408116630975315;0.22023631816704317;0.0
2.5;1;2.0;0.0;2.0;0.0;0.0;1041.3289435570352;539.0873773550051;0.0;1.739552422536993;0.22023631816704317;0.0
2.5;1;3.0;0.0;2.0;0.0;0.0;1041.3289435570352;844.3122501765021;0.0;1.3968258078878613;0.22023631816704317;0.0
2.5;1;4.0;0.0;1.0;0.0;0.0;1041.3289435570352;1870.9873135531802;0.0;0.6349577746679195;0.22023631816704317;0.0
2.5;2;0.0;0.0;1.0;0.0;0.0;1041.3289435570352;871.5884141766553;0.0;0.029123797350593717;0.14015038428811838;0.0
2.5;2;1.0;0.0;2.0;0.0;0.0;1041.3289435570352;377.41852750388335;0.0;0.02018835742732079;0.14015038428811838;0.0
2.5;2;2.0;0.0;2.0;0.0;0.0;1041.3289435570352;382.17202053104415;0.0;0.01309606227194043;0.14015038428811838;0.0
2.5;2;3.0;0.0;2.0;0.0;0.0;1041.3289435570352;598.55328127369;0.0;0.01051587611051941;0.14015038428811838;0.0
2.5;2;4.0;0.0;2.0;0.0;0.0;1041.3289435570352;1326.3879512758367;0.0;0.009560443766306742;0.14015038428811838;0.0
2.5;2;5.0;0.0;1.0;0.0;0.0;1041.3289435570352;4018.282757681828;0.0;0.0;0.14015038428811838;0.0
2.5;0;2.0;0.0;1.0;0.0;0.0;1084.3659686896099;901.5730801484634;0.0;0.06795246907738148;0.14015660247286413;0.0
